Parameter,Howarth,Jones,Howarth Upper Lim Err,Howarth Lower Lim Err,Jones Upper Lim Err,Jones Lower Lim Err
i,84.9,59.79,90,78,67.59,52.83
ωₑ/ω_c,0.946,0.993,0.966,0.926,0.999,0.963
vₑ sin i,306,316.08,,,330.05,301.30
Tₑff,9.693,9.765,9.743,9.643,9.992,9.617
Tₚ,10.952,10.660,,,10.910,10.466
Tₑ,8.680,7.441,,,7.823,6.782
Rₚ,2.21,2.08,2.23,2.19,2.12,2.04
Rₑ,2.82,3.37,,,3.72,3.19
Pᵣₒₜ₍ₑ₎,11.12,11.32,,,11.68,10.98
θ,0.89,0.84,,,0.86,0.82
log(gₚ),4.15,4.08,,,4.10,4.06
log(gₑ),3.60,3.03,,,3.35,2.57
M,2.53,2.41,2.69,2.37,2.47,2.37
log(L/L☉),1.72,1.63,1.74,1.70,1.68,1.58
